Group,Size,Range,File,Total Value,Total Weight,Time,Optimal?
08SpannerWeaklyCorrelated,n00500,R01000,s001.kp,145888,64611,183.3822441,NO
08SpannerWeaklyCorrelated,n01000,R01000,s001.kp,277084,125478,180.2282193,NO
08SpannerWeaklyCorrelated,n00050,R01000,s000.kp,10354,11452,1.6170683,YES
08SpannerWeaklyCorrelated,n00100,R01000,s000.kp,20550,20824,0.0010121,YES
08SpannerWeaklyCorrelated,n00200,R01000,s000.kp,40575,41116,14.9505067,YES
08SpannerWeaklyCorrelated,n00500,R01000,s000.kp,98713,100076,200.0230806,NO
08SpannerWeaklyCorrelated,n01000,R01000,s000.kp,196050,198664,179.9442203,NO
08SpannerWeaklyCorrelated,n00050,R10000,s000.kp,102774,115687,1.7513516,YES
08SpannerWeaklyCorrelated,n00100,R10000,s000.kp,203856,210158,0.0410979,YES
08SpannerWeaklyCorrelated,n00200,R10000,s000.kp,403248,415714,118.4820774,YES
08SpannerWeaklyCorrelated,n00500,R10000,s000.kp,981336,1011673,179.9999976,NO
08SpannerWeaklyCorrelated,n01000,R10000,s000.kp,1948536,2008773,180.0003245,NO
09SpannerStronglyCorrelated,n00050,R01000,s001.kp,27261,6461,1.4415958,YES
09SpannerStronglyCorrelated,n00100,R01000,s001.kp,49204,12004,179.6461382,NO
09SpannerStronglyCorrelated,n00200,R01000,s001.kp,104200,23700,179.7110512,NO
09SpannerStronglyCorrelated,n00500,R01000,s001.kp,263953,64553,173.9305432,NO
09SpannerStronglyCorrelated,n01000,R01000,s001.kp,504878,125478,180.6833534,NO
09SpannerStronglyCorrelated,n00050,R01000,s000.kp,28440,11540,185.6863289,NO
09SpannerStronglyCorrelated,n00100,R01000,s000.kp,51656,20956,11.0781121,YES
09SpannerStronglyCorrelated,n00200,R01000,s000.kp,101888,41288,194.6442707,NO
09SpannerStronglyCorrelated,n00500,R01000,s000.kp,245128,99928,188.6362002,NO
09SpannerStronglyCorrelated,n01000,R01000,s000.kp,488672,198772,180.0009208,NO
09SpannerStronglyCorrelated,n00050,R10000,s000.kp,285753,116753,51.4697366,YES
09SpannerStronglyCorrelated,n00100,R10000,s000.kp,518835,211835,0.0493896,YES
09SpannerStronglyCorrelated,n00200,R10000,s000.kp,1022469,417469,180.0001919,NO
09SpannerStronglyCorrelated,n00500,R10000,s000.kp,2460672,1010672,180.0002286,NO
09SpannerStronglyCorrelated,n01000,R10000,s000.kp,4903566,2009566,180.0002182,NO
10MultipleStronglyCorrelated,n00050,R01000,s001.kp,19390,11790,0.2660174,YES
10MultipleStronglyCorrelated,n00100,R01000,s001.kp,40686,25386,0.0126407,YES
10MultipleStronglyCorrelated,n00200,R01000,s001.kp,79202,48102,6.7337892,YES
10MultipleStronglyCorrelated,n00500,R01000,s001.kp,201662,123762,51.7812619,YES
